level_id,name,category,pattern_display,pattern_formula,pattern_components,example_1,example_2,example_3,explanation,show_articles,show_auxiliaries,show_negation,show_questions,auxiliary_type,question_type,spanish_error_pattern,gentle_correction,memory_trick,time_markers,exception_notes
11,Frequency Expressions,time-expressions,Subject + Verb + Object + Frequency,subject + verb + object + frequency,"subject,verb,object,adverb",She visits once a month,I exercise twice a week,They meet three times,"Use once/twice/three times + a + time period to show how often. These expressions go at the end of sentences. Pattern: number + times + a + time period (once a day, twice a week, three times a month).",false,false,false,false,none,none,,Great logic! English says: She visits once a month,"Once/twice for 1 and 2, then 'three times, four times...'","once a day, twice a week, three times a month",Use 'a' not 'per': once a week (not once per week)
12,Zero Conditional,time-expressions,"If + Subject + Verb, Subject + Verb",if + subject + verb + subject + verb,"subject,verb,subject,verb","If you heat water, it boils","If it rains, we stay home","If you study, you learn","Use zero conditional for facts, rules, and general truths. Both clauses use present simple. Pattern: If + present simple, present simple. This expresses cause and effect relationships that are always true.",false,false,false,false,none,none,,"Perfect understanding! For facts, no 'will' needed: If you heat water, it boils",Facts don't need 'will' - they're always true,"when, if, whenever",Both parts use present simple - no future tense needed
13,Past Simple Affirmative,past-tense,Subject + Past Verb + Object,subject + past_verb + object,"subject,verb,object",I ate pizza yesterday,She went home early,They finished work,"Use V2 (past form) for completed actions in the past. Regular verbs add -ed . Irregular verbs change completely . Time markers: yesterday, last week, in 2020, ago.",false,false,false,false,none,none,,Smart! Past actions need past verbs: I went yesterday,"Regular +ed, Irregular = completely different word","yesterday, last week, ago, in 2020",Irregular verbs must be memorized - they don't follow the -ed rule
14,Past Simple Negative,past-tense,Subject + Didn't + Verb + Object,subject + didnt + verb + object,"subject,helper,verb,object",I didn't go yesterday,She didn't eat lunch,They didn't watch TV,"Use 'didn't' + base verb for all subjects in past negative. Didn't = did not. After 'didn't', always use V1 (base form), never past form. Same pattern for all subjects (I, you, he, she, it, we, they).",false,true,true,false,did,none,,"Excellent! After didn't, use base verb: I didn't go yesterday",Didn't + base verb (not past verb),"yesterday, last week, didn't + time","After didn't, NEVER use past form - always base verb"
15,Past Simple Questions,past-tense,Did + Subject + Verb + Object?,did + subject + verb + object,"helper,subject,verb,object",Did you see the movie?,Did she finish homework?,Did they arrive early?,"Use 'Did' + subject + base verb for all past questions. Same pattern for all subjects. Answer patterns: Yes, I did / No, I didn't. Question formation: Did + subject + base verb + object?",false,true,false,true,did,yes_no,,Great thinking! Past questions need 'did': Did you see the movie?,Did + subject + base verb for all past questions,"yesterday, last week, when","After 'did', always use base verb, never past form"
16,Past Continuous,past-tense,Subject + Was/Were + Verb-ing,subject + was_were + verb_ing,"subject,helper,verb",I was eating dinner,She was studying,They were playing,Use was (I/he/she/it) or were (you/we/they) + verb-ing for past ongoing actions. Shows actions in progress at a specific past time. Often interrupted by past simple actions.,false,true,false,false,be_past,none,,Perfect start! Add -ing: I was eating dinner,Was/were + verb-ing = past action in progress,"while, when, at 8 PM yesterday","Was = I/he/she/it, Were = you/we/they"
17,Passive Voice (Intro),passive,Subject + Was/Were + Past Participle,subject + was_were + past_participle,"subject,helper,verb",The book was read by Maria,The house was built in 1990,The letter was sent yesterday,"Simple passive voice introduction. Focus on the action, not who does it. Subject receives the action. Use was/were + past participle. Shows past actions where doer is unimportant.",false,true,false,false,be_past,none,,Perfect! Add 'was': The book was read by Maria,"Subject receives action, not does action","by Maria, yesterday, last week","Was = singular subjects, were = plural subjects"
18,Present Perfect Introduction,present-perfect,Subject + Have/Has + Past Participle,subject + have_has + past_participle,"subject,helper,verb",I have visited Paris,She has finished work,They have eaten lunch,"Use have (I/you/we/they) or has (he/she/it) + past participle (V3) for experiences and completed actions with present relevance. Shows connection between past and present. V3 forms: regular verbs +ed, irregular verbs change .",false,true,false,false,have_has,none,,Great! Use past participle: I have visited Paris,Have/has + past participle = experience or completed with present connection,"ever, never, already, just, yet",Past participle (V3) is different from past simple (V2)
19,Present Perfect Experience,present-perfect,Have/Has + Subject + Ever + Past Participle?,have_has + subject + ever + past_participle,"helper,subject,adverb,verb",Have you ever been to Japan?,Has she ever seen snow?,Have they ever traveled abroad?,"Use 'ever' in questions and 'never' in negative answers about life experiences. 'Ever' = at any time in your life. Pattern: Have/has + subject + ever + past participle? Answers: Yes, I have / No, I never have.",false,true,false,true,have_has,yes_no,,Good thinking! 'Ever' only in questions: Has she ever visited Paris?,"Ever = questions, Never = negative answers","ever (questions), never (negatives)","'Ever' is only used in questions, not positive statements"
20,Present Perfect Recent,present-perfect,Subject + Have/Has + Just/Already + Past Participle,subject + have_has + adverb + past_participle,"subject,helper,adverb,verb",I have just finished,She has already eaten,They have just arrived,"Use 'just' for very recent actions (minutes/hours ago) and 'already' for completed actions (sooner than expected). 'Just' = very recently, 'Already' = completed, often with surprise.",false,true,false,false,have_has,none,,Perfect timing! Add 'have': I have just finished,"Just = very recent, Already = completed (with surprise)","just now, already, recently",'Just' and 'already' go between have/has and past participle
21,Present Perfect Duration,present-perfect,Subject + Have/Has + Past Participle + For/Since,subject + have_has + past_participle + duration,"subject,helper,verb,preposition",I have lived here for 5 years,She has worked since 2019,They have studied for months,"Use 'for' + period of time (for 5 years, for months), 'since' + starting point (since 2019, since Monday). Shows actions that started in past and continue to present. Duration vs. starting point distinction is crucial.",false,true,false,false,have_has,none,,Excellent! Duration needs present perfect: I have lived here for 5 years,"For = period of time, Since = starting point","for 5 years, since 2019, for a long time","For + time period, Since + specific time point"
22,Present Perfect vs Past,present-perfect,Present Perfect vs Past Simple,present_perfect_vs_past_simple,"subject,helper,verb,time",I have eaten pizza today,I ate pizza yesterday,She has finished vs She finished,"THE GOLDEN RULE: Finished time = Past Simple, Unfinished time = Present Perfect. Today (unfinished) = present perfect, Yesterday (finished) = past simple. This is the most challenging concept for Spanish speakers!",false,true,false,false,have_has,none,,Brilliant logic! Yesterday is finished time: I ate yesterday,"Finished time = past simple, Unfinished time = present perfect","today vs yesterday, this week vs last week",Time context determines tense choice - most critical rule!
23,Present Perfect Yet/Still,present-perfect,Subject + Haven't/Hasn't + Past Participle + Yet,subject + havent_hasnt + past_participle + yet,"subject,helper,verb,adverb",I haven't finished yet,She hasn't arrived yet,They haven't decided yet,"Use 'yet' in questions and negatives about expected actions. 'Yet' = up to now, but expected to happen. 'Still' for ongoing situations. 'Yet' goes at the end of sentences.",false,true,true,false,have_has,none,,Smart thinking! Use present perfect: I haven't finished yet,"Yet = expected but not happened, Still = continuing situation","yet, still, not yet","'Yet' in negatives/questions, 'still' in positives"
24,Present Perfect Questions,present-perfect,Have/Has + Subject + Past Participle?,have_has + subject + past_participle,"helper,subject,verb",Have you finished homework?,Has she called you?,Have they arrived yet?,"Put have/has first for yes/no questions. Pattern: Have/has + subject + past participle? Answer patterns: Yes, I have / No, I haven't. Can add 'yet' for expected actions.",false,true,false,true,have_has,yes_no,,Perfect! English flips: Have you finished?,Have/has + subject + past participle,"yet, already, ever",Have/has must come before subject in questions
25,Going to Future,future-tense,Subject + Be + Going to + Verb,subject + be + going_to + verb,"subject,helper,verb",I am going to study,She is going to travel,They are going to move,"Use for plans, intentions, and predictions with evidence. BE verb (am/is/are) + going to + base verb. Shows future actions that are planned or have visible evidence.",false,true,false,false,be,none,,Excellent plan! Add BE verb: I am going to study,Plans and evidence-based predictions,"tomorrow, next week, soon, later","BE verb must agree: I am, she is, they are + going to"
26,Will Future,future-tense,Subject + Will + Verb,subject + will + verb,"subject,helper,verb",I will help you,She will arrive soon,They will call later,"Use for spontaneous decisions, promises, and predictions without evidence. Will + base verb for all subjects. Shows future actions decided at the moment of speaking.",false,true,false,false,will,none,,Perfect! Will + base verb: I will help you,Spontaneous decisions and promises,"tomorrow, soon, later, probably",Never use 'to' after 'will' - will + base verb only
27,First Conditional,conditionals,"If + Present, Will + Verb",if + present + will + verb,"subject,verb,subject,helper","If it rains, I will stay home","If you study, you will pass","If she calls, I will answer","For real future possibilities. If clause uses present simple, main clause uses will + base verb. Shows likely future situations and their probable results.",false,true,false,false,will,none,,"Great thinking! If clause uses present: If it rains, I will stay","Real possibilities: If + present, will + verb","if, unless, when, as soon as",Never use 'will' in the if clause - only in main clause
28,Future Continuous,future-tense,Subject + Will + Be + Verb-ing + Object,subject + will + be + verb_ing,"subject,helper,helper,verb",I will be working at 3 PM,She will be studying tonight,They will be traveling tomorrow,Use for ongoing actions at a specific future time. Will + be + verb-ing for all subjects. Shows what will be happening at a particular time in the future.,false,true,false,false,will,none,,Excellent timing! Add 'be': I will be working at 3 PM,Will be + verb-ing = ongoing future action,"at 3 PM, tomorrow, next week",Shows continuous action at a specific future time
29,Future Perfect,future-tense,Subject + Will + Have + Past Participle,subject + will + have + past_participle,"subject,helper,verb",She will have graduated by June,I will have finished by 6 PM,They will have completed the project,For actions that will be completed before a future time. Will + have + past participle for all subjects. Shows completion before a future deadline or point in time.,false,true,false,false,will_have,none,,Perfect planning! Add 'have': I will have finished by 6 PM,Will + have + past participle = completed before future time,"by 6 PM, by tomorrow, by next week",Shows completion before a specific future time
30,Can/Should/Must,modals,Subject + Modal + Verb,subject + modal + verb,"subject,helper,verb",You should study,She can drive,They must finish,"Use modals to express ability (can), advice (should), and obligation (must). Modal + base verb for all subjects. Each modal has a specific meaning and strength.",false,true,false,false,modal,none,,Excellent! Modal + base verb: You should study,"Can = ability, Should = advice, Must = obligation",,Never use 'to' after modals - modal + base verb only
31,Used To Family,modals,Subject + Used to + Verb / Be + Used to + Noun,subject + used_to + verb,"subject,helper,verb",I used to live in Paris,I'm used to the cold,She got used to working late,Used to + base verb for past habits. Be used to + noun/gerund for familiarity. Get used to + noun/gerund for adaptation. Three related but different expressions.,false,true,false,false,used_to,none,,Perfect! Use 'used to' for past habits: I used to live in Paris,"Used to = past habits, Be used to = familiar, Get used to = adapt",,"Used to (past habits) + base verb, Be/Get used to + noun/gerund"
32,Have To vs Must,modals,Subject + Have To/Must + Verb,subject + have_to + verb,"subject,helper,verb",I have to study,She must finish today,They have to work late,"Have to = external obligation (boss, rules, circumstances). Must = internal obligation (personal decision). Both + base verb for all subjects. Different sources of necessity.",false,true,false,false,have_to,none,,Perfect! Use 'have to' for external: I have to study,"Have to = external obligation, Must = internal decision",,"Both use base verb, but different obligation types"
33,Gerunds & Infinitives,modals,Verb + Gerund / Verb + To + Verb,verb + gerund + verb + infinitive,"verb,verb,verb,verb",I enjoy swimming,She wants to travel,They decided to leave,"Some verbs take gerunds (-ing), others take infinitives (to + verb). No clear rule - must be memorized. Common patterns: enjoy/like + gerund, want/need + infinitive.",false,false,false,false,none,none,,Perfect! Some verbs + gerund: I enjoy swimming,"Enjoy/like + gerund, Want/need + infinitive",,No clear rule - memorize verb patterns
34,Preferences,modals,Subject + Prefer/Would Rather + Verb,subject + prefer + verb,"subject,helper,verb",I prefer walking,She would rather stay home,They prefer to eat early,Prefer + gerund or noun for general preferences. Would rather + base verb for specific choices. Both express personal choices and preferences between options.,false,true,false,false,prefer,none,,Perfect choice! Prefer + gerund: I prefer walking,"Prefer = general preference, Would rather = specific choice",,"Prefer + gerund/noun, Would rather + base verb"
35,Permission & Requests,modals,Can/Could/May + Subject + Verb?,modal + subject + verb,"helper,subject,verb",Can I use your phone?,Could you help me?,May I come in?,Can = informal permission/requests. Could = more polite requests. May = formal permission. All + subject + base verb for questions. Politeness hierarchy: Can → Could → May.,false,true,false,true,modal,yes_no,,Perfect! Use 'can' for informal: Can I use your phone?,"Can = informal, Could = polite, May = formal",,Question word order: modal + subject + base verb
36,Imperatives,commands,Verb + Object / Don't + Verb + Object,verb + object + dont + verb + object,"verb,verb,verb,verb",Open the door,Don't touch that,Close your eyes,Imperatives give commands or instructions. No subject needed - verb comes first. Negative: Don't + base verb. Polite commands: Please + verb. Very direct form of communication.,false,false,false,false,none,none,,Perfect command! No subject needed: Open the door,No subject in imperatives - verb comes first,,Don't + base verb for negative commands
37,Let's Suggestions,commands,Let's + Verb + Object,lets + verb + object,"helper,verb,object",Let's go to the movies,Let's eat dinner,Let's take a walk,Let's = let us. Makes suggestions for group activities. Always 'Let's' with apostrophe. Positive suggestions only - no negative form. Very common in casual conversation.,false,true,false,false,lets,none,,Perfect suggestion! Use 'Let's': Let's go to the movies,Let's = let us + suggestion,,Always 'Let's' with apostrophe
38,How About/What About,commands,How about/What about + Gerund/Noun,how_about + gerund + what_about + noun,"helper,verb,verb,verb",How about pizza?,What about swimming?,How about going to the movies?,"How about/What about make casual suggestions. How about + gerund/noun, What about + noun/gerund. Both very informal and common for making suggestions in conversation.",false,false,false,false,none,none,,Perfect suggestion! Use gerund: How about going?,"How about + gerund/noun, What about + noun/gerund",,Very casual and conversational
39,Comparatives,comparisons,Subject + Verb + Adjective-er + Than + Object,subject + verb + comparative + than + object,"subject,verb,adjective,object",She is taller than me,This book is more interesting than that one,He runs faster than his brother,Comparatives compare two things. Short adjectives (1-2 syllables) + -er + than. Long adjectives use 'more' + adjective + than. Always need 'than' for comparison.,false,false,false,false,none,none,,Perfect comparison! Use 'is': She is taller than me,"Short adjectives + -er + than, Long adjectives + more + than",,Always need 'than' for comparisons
40,Superlatives,comparisons,Subject + Verb + The + Adjective-est,subject + verb + the + superlative,"subject,verb,article,adjective",She is the tallest student,This is the most interesting book,He is the fastest runner,Superlatives compare three or more things. Short adjectives + the + -est. Long adjectives + the + most + adjective. Always need 'the' before superlative.,false,false,false,false,none,none,,Perfect comparison! Use 'the': She is the tallest student,"Short adjectives + the + -est, Long adjectives + the + most",,Always need 'the' before superlatives
41,Indefinite Pronouns,indefinite-pronouns,Someone/Anyone/Everyone + Verb,indefinite + verb,"pronoun,verb",Someone is calling,Everyone knows that,Nothing happened,Indefinite pronouns refer to non-specific people/things. Some- pronouns in positive statements. Any- pronouns in negative/question contexts. All are singular and take singular verbs.,false,false,false,false,none,none,,Perfect! Indefinite pronouns are singular: Someone is calling,"Some- = positive, Any- = negative/questions",,All singular - take singular verbs
42,Relative Clauses,advanced,Subject + Who/Which/That + Verb,subject + relative + verb,"subject,relative,verb",The man who called is here,The book which I read was good,The car that she bought is new,"Use who for people, which/that for things. Relative pronouns connect clauses and provide extra information about nouns. Essential vs. non-essential clauses.",false,false,false,false,none,none,,Perfect connection! Use 'who' for people: The man who called is here,"Who = people, Which/That = things","who, which, that, where, when","Who = people, which = things (formal), that = things (informal)"
43,Tag Questions,advanced,Statement + Tag Question,statement + tag,"subject,verb","You like pizza, don't you?","She is coming, isn't she?","They finished, didn't they?","Tag questions confirm information. Positive statement + negative tag, negative statement + positive tag. Tag must match the auxiliary verb in the statement.",false,false,false,false,none,none,,"Perfect confirmation! Positive + negative tag: You like pizza, don't you?","Positive statement + negative tag, Negative statement + positive tag",,Tag auxiliary must match statement auxiliary
44,Second Conditional,conditionals,"If + Past Simple, Would + Base Verb",if + past + would + verb,"subject,verb,subject,helper","If I were rich, I would travel","If it rained, we would stay","If she came, we would be happy","For imaginary present situations. If clause uses past simple, main clause uses would + base verb. Shows unreal or unlikely present/future situations.",false,true,false,false,would,none,,"Great imagination! Imaginary uses past: If I were rich, I would travel","Imaginary present: If + past, would + verb","if I were, if I had, if I could","Use 'were' for all subjects in second conditional (if I were, if he were)"
45,Third Conditional,conditionals,"If + Past Perfect, Would Have + Past Participle",if + past_perfect + would_have,"subject,helper,verb","If I had studied, I would have passed","If she had come, we would have won","If they had called, I would have helped","For imaginary past situations and regrets. If clause uses past perfect, main clause uses would have + past participle. Shows unreal past situations - what didn't happen.",false,true,false,false,would_have,none,,"Perfect regret! Past perfect needed: If I had studied, I would have passed","Imaginary past: If + had + V3, would have + V3","if I had known, if she had come",Third conditional expresses regrets about past
46,Reported Speech,advanced,Subject + Said + That + Past Tense,subject + said + that + past,"subject,verb,subject,verb",She said that she was tired,He told me that he lived here,They said that they would come,"When reporting, tenses usually shift back. Present → past, past → past perfect, will → would. Use 'said' or 'told' + that clause. Time and place expressions also change.",false,false,false,false,none,none,,Excellent reporting! Shift tense back: She said that she was tired,"Reporting shifts tenses back: present → past, past → past perfect","that, said, told, mentioned",Tense backshift is required in reported speech
47,Embedded Questions,advanced,Do you know + Wh-word + Subject + Verb?,embedded_question,"helper,subject,verb",Do you know what time it is?,Could you tell me where she lives?,Do you remember when we met?,Embedded questions are more polite than direct questions. Use statement word order after question word. No auxiliary inversion in the embedded part.,false,false,false,false,none,none,,Perfect politeness! Statement order: Do you know what time it is?,Embedded questions use statement word order,"Do you know, Could you tell me, Do you remember",More polite than direct questions
