Verb,V1,V1-3rd,V1-ing,V2,V3
receive,receive,receives,receiving,received,received
reduce,reduce,reduces,reducing,reduced,reduced
refer,refer,refers,referring,referred,referred
reflect ,reflect ,reflects,reflecting ,reflected,reflected
relate,relate,relates,relating,related,related
remain,remain,remains,remaining,remained,remained
remember,remember,remembers,remembering,remembered,remembered
remove,remove,removes,removing,removed,removed
replace,replace,replaces,replacing,replaced,replaced
report,report,reports,reporting,reported,reported
represent,represent,represents,representing,represented,represented
require,require,requires,requiring,required,required
return,return,returns,returning,returned,returned
ride,ride,rides,riding,rode,ridden
ring,ring,rings,ringing,rang,rung
rise,rise,rises,rising,rose,risen
run,run,runs,running,ran,run
save,save,saves,saving,saved,saved
say,say,says,saying,said,said
see,see,sees,seeing,saw,seen
seek,seek,seeks,seeking,sought,sought
seem,seem,seems,seeming,seemed,seemed
sell,sell,sells,selling,sold,sold
send,send,sends,sending,sent,sent
serve,serve,serves,serving,served,served
set,set,sets,setting,set,set
shake,shake,shakes,shaking,shook,shaken
share,share,shares,sharing,shared,shared
shine,shine,shines,shining,shone,shone
shoot,shoot,shoots,shooting,shot,shot
show,show,shows,showing,showed,shown
shrink,shrink,shrinks,shrinking,shrank/shrunk,shrunk
shut,shut,shuts,shutting,shut,shut
sing,sing,sings,singing,sang,sung
sink,sink,sinks,sinking,sank,sunk
sit,sit,sits,sitting,sat,sat
sleep,sleep,sleeps,sleeping,slept,slept
smile,smile,smiles,smiling ,smiled,smiled
speak,speak,speaks,speaking,spoke,spoken
spell,spell,spells,spelling,spelled/spelt,spelled/spelt
spend,spend,spends,spending,spent,spent
spoil,spoil,spoils,spoiling,spoiled/spoilt,spoiled/spoilt
stand,stand,stands,standing,stood,stood
start,start,starts,starting,started,started
stay,stay,stays,staying,stayed,stayed
steal,steal,steals,stealing,stole,stolen
stop,stop,stops,stopping,stopped,stopped
suffer,suffer,suffers,suffering,suffered,suffered
suggest,suggest,suggests,suggesting,suggested,suggested
support,support,supports,supporting,supported,supported
suppose,suppose,supposes,supposing,supposed,supposed
swear,swear,swears,swearing,swore,sworn
sweep,sweep,sweeps,sweeping,swept,swept
swim,swim,swims,swimming,swam,swum
take,take,takes,taking,took,taken
talk,talk,talks,talking,talked,talked
teach,teach,teaches,teaching,taught,taught
tear,tear,tears,tearing,tore,torn
tell,tell,tells,telling,told,told
tend,tend,tends,tending,tended,tended
thank,thank,thanks,thanking,thanked,thanked
think,think,thinks,thinking,thought,thought
throw,throw,throws,throwing,threw,thrown
treat,treat,treats,treating,treated,treated
try,try,tries,trying,tried,tried
turn,turn,turns,turning,turned,turned
understand,understand,understands,understanding,understood,understood
use,use,uses,using,used,used
visit,visit,visits,visiting,visited,visited
wait,wait,waits,waiting,waited,waited
wake,wake,wakes,waking,woke,woken
walk,walk,walks,walking,walked,walked
want,want,wants,wanting,wanted,wanted
watch,watch,watches,watching,watched,watched
wear,wear,wears,wearing,wore,worn
weep,weep,weeps,weeping,wept,wept
win,win,wins,winning,won,won
wish,wish,wishes,wishing,wished,wished
wonder,wonder,wonders,wondering,wondered,wondered
work,work,works,working,worked,worked
write,write,writes,writing,wrote,written
